ParkID,Name,Address1,Address2,Address3,Phone,Email,Website,Type,Parking,Bicycle_Parking,Toilets,LA_ID
1,Ardgillan Demesne,Balbriggan,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/ArdgillanDemesneRegionalPark/,Regional,Yes,Yes,Yes,1
2,Balheary Park,Balheary Road,Swords,Co. Dublin,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,No,No,No,1
3,Carpenterstown Park,Carpenterstown,Dublin 15,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,,No,1
4,Carrickhill Park,Portmarnock,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,Yes,,No,1
5,Malahide Demesne,Malahide,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/MalahideDemesneRegionalPark/,Regional,Yes,,Yes,1
6,Millennium Park,Blanchardstown,Dublin 15,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Regional,Yes,Yes,Yes,1
7,Newbridge Demense,Hearse Road,Donabate,Co. Dublin,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/NewbridgeDemesneRegionalPark/,Regional,Yes,Yes,Yes,1
8,Porterstown Park,Luttrellstown Road,Porterstown,Dublin 15,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,Yes,No,,1
9,Santry Demense,Swords Road,Santry,Dublin 9,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Regional,Yes,,Yes,1
10,Seagrange Park,Grange Road,Baldoyle,Dublin 13,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,No,No,No,1
11,Skerries Town Park &,Skerries,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,Yes,Yes,Yes,1
