Facility_ID,Facility_Type,Facility_Name,Area,LA_ID
1,All weather pitches,Balbriggan Town Park,Balbriggan,1
2,All weather pitches,Balheary Reservoir,Swords,1
3,All weather pitches,Town Park,Skerries,1
4,All weather pitches,St. Mologa's Park,Balbriggan,1
5,Basketball Court,Seagrange Park,Baldoyle,1
6,Basketball Court,Grace O'Malley Park,Howth,1
7,GAA Pitches,Broomfiled,Malahide,1
8,GAA Pitches,St. Catherine's Park,Rush,1
9,GAA Pitches,Malahide Demesne,Malahide,1
10,GAA Pitches,Swords Manor,Swords,1
11,GAA Pitches,Balheary Park,Swords,1
12,GAA Pitches,Balheary Park,Swords,1
13,GAA Pitches,Balheary Park,Swords,1
14,GAA Pitches,Hartstown Park,Hartstown,1
15,GAA Pitches,Hartstown Park,Hartstown,1
16,GAA Pitches,Hunters Run/lLittlep,Clonee,1
17,GAA Pitches,Skerries Town Park,Skerries,1
18,GAA Pitches,Ballist Pit,Skerries,1
19,GAA Pitches,St. Molaga's Park,Balbriggan,1
20,GAA Pitches,Seagrange Park,Baldoyle,1
21,Rugby Pitches,St. Mologa's Park,Balbriggan,1
22,GAA Pitches,St. Catherines,Lucan,1
23,GAA Pitches,St. Catherines,Lucan,1
24,Seven-a-side,St. Catherine's Park,Rush,1
25,Seven-a-side,Seabury,Malahide,1
26,Seven-a-side,Ward River Valley,Swords,1
27,Seven-a-side,Balheary Park,Swords,1
28,Seven-a-side,Balheary Park,Swords,1
29,Seven-a-side,Balheary Park,Swords,1
30,Seven-a-side,Balheary Reservoir ,Swords,1
31,Seven-a-side,Balheary Reservoir,Swords,1
32,Seven-a-side,Balheary Reservoir,Swords,1
33,Seven-a-side,Hartstown Park,Hartstown,1
34,Seven-a-side,Hartstown Park,Hartstown,1
35,Seven-a-side,Hartstown Park,Hartstown,1
36,Seven-a-side,Mountview Park,Blanchardstown,1
37,Seven-a-side,St. Mologa's Park,Balbriggan,1
38,Seven-a-side,St. Mologa's Park,Balbriggan,1
39,Seven-a-side,Seagrange Park,Baldoyle,1
40,Seven-a-side,Bayside School,Sutton,1
41,Seven-a-side,Pinewood,Balbriggan,1
42,Seven-a-side,St. Catherines,Lucan,1
43,Seven-a-side,St. Catherines,Lucan,1
44,Soccer pitches,Balbriggan Town Park,Balbriggan,1
45,Soccer pitches,Balbriggan Town Park,Balbriggan,1
46,Soccer pitches,Ball Alley/Remount ,Lusk,1
47,Soccer pitches,Newbridge Demesne,Donabate,1
48,Soccer pitches,Newbridge Demesne,Donabate,1
49,Soccer pitches,Newbridge Demesne,Donabate,1
50,Soccer pitches,Newbridge Demesne,Donabate,1
51,Soccer pitches,Newbridge Demesne,Donabate,1
52,Soccer pitches,Newbridge Demense,Donabate,1
53,Soccer pitches,Newbridge Demesne,Donabate,1
54,Soccer pitches,Carrickhill Park,Portmarnock,1
55,Soccer pitches,St. Catherine's Park,Rush,1
56,Soccer pitches,St. Catherine's Park,Rush,1
57,Soccer pitches,Swords Manor,Swords,1
58,Soccer pitches,Ward River Valley,Swords,1
59,Soccer pitches,Balheary Park,Swords,1
60,Soccer pitches,Balheary Park,Swords,1
61,Soccer pitches,Balheary Reservoir,Swords,1
62,Soccer pitches,Balheary Reservoir,Swords,1
63,Soccer pitches,Balheary Reservoir,Swords,1
64,Soccer pitches,Hartstown Park,Hartstown,1
65,Soccer pitches,Hartstown Park,Hartstown,1
66,Soccer pitches,Hartstown Park,Hartstown,1
67,Soccer pitches,Mourne View,Skerries,1
68,Soccer pitches,Mourne View,Skerries,1
69,Soccer pitches,Town Park,Balbriggan,1
70,Soccer pitches,Town Park,Skerries,1
71,Soccer pitches,Coolmine Park,Blanchardstown,1
72,Soccer pitches,Mountview Park,Blanchardstown,1
73,Soccer pitches,Corduff Park,Corduff,1
74,Soccer pitches,Parslickstown,Mulhuddart,1
75,Soccer pitches,Lady's Well Park,Mulhuddart,1
76,Soccer pitches,Danny's Pitches,Mulhuddart,1
77,Soccer pitches,Grace O'Malley Park,Howth,1
78,Soccer pitches,Corballis Road,Donabate,1
79,Soccer pitches,Laurel Lodge,Castleknock,1
80,Soccer pitches,St. Mologa's Park,Balbriggan,1
81,Soccer pitches,St. Mologa's Park,Balbriggan,1
82,Soccer pitches,St. Mologa's Park,Balbriggan,1
83,Soccer pitches,Craoibhinn Park,Balbriggan,1
84,Soccer pitches,Seagrange Park,Baldoyle,1
85,Soccer pitches,Seagrange Park,Baldoyle,1
86,Soccer pitches,Seagrange Park,Baldoyle,1
87,GAA Pitches,Balrothery Park,Balrothery ,1
88,Soccer pitches,St. Catherines,Lucan,1
89,Soccer pitches,St. Catherines,Lucan,1
90,Soccer pitches,St. Catherines,Lucan,1
91,Tennis Courts,Seagrange Park,Baldoyle,1
92,GAA Pitches,St. Catherines,Lucan,1
93,GAA Pitches,Hazelbury Park,Castaheany,1
94,Soccer pitches,Porterstown Park,Porterstown,1
95,Soccer pitches,Robswall,Malahide,1
96,Soccer pitches,Balheary  Reservoir,Swords,1
